"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","QZ5","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
99,83,92.5,98,100,0,0,0,0,6,33.3333333333333,16.6666666666667,0,0,29.6,12.6,0,37,14,59.0625,16.6666666666667,0,31.11875,"F"
100,100,100,100,100,100,0,100,96,11,75,77.7777777777778,55,16,64.8,58.5,80,81,65,99.5,69.2592592592593,100,82.6888888888889,"B"
82.5,100,93.5,100,100,95,80,90,100,12,66.6666666666667,88.8888888888889,70,17,63.2,63.45,85,79,70.5,95.125,75.1851851851852,100,83.2402777777778,"B"
52.5,100,82.5,90,100,94,100,75,85,12,91.6666666666667,50,42.5,17,66.8,74.25,85,83.5,82.5,90.8125,61.3888888888889,100,83.7770833333333,"B"
60,70,85,75,0,0,0,0,0,3,66.6666666666667,77.7777777777778,0,19,67.2,65.7,95,84,73,36.25,54.4814814814815,0,54.0972222222222,"D"
90,0,70,90,0,44,0,40,55,10,91.6666666666667,77.7777777777778,55,13,43.2,49.5,65,54,55,48.625,74.8148148148148,80,58.3597222222222,"D"
87.5,100,100,100,100,100,100,100,80,12,100,100,65,20,80,84.6,100,100,94,98.4375,88.3333333333333,100,96.28125,"A+"
92.5,100,100,70,100,100,92,100,80,12,91.6666666666667,94.4444444444444,85,17,60.8,50.85,85,76,56.5,95.5625,90.3703703703704,100,81.5493055555556,"B-"
87.5,60,100,100,95,92,79,95,100,12,58.3333333333333,66.6666666666667,70,19,60,76.5,95,75,85,93.5625,65,100,84.06875,"B"
85,95,100,100,95,100,89,97.5,85,12,91.6666666666667,66.6666666666667,82.5,20,72,79.2,100,90,88,95.1875,80.2777777777778,100,90.5979166666667,"A"
83.5,100,0,90,70,94,76,100,100,12,100,61.1111111111111,90,19,60,67.05,95,75,74.5,89.1875,83.7037037037037,100,82.9368055555556,"B"
85,100,92.5,100,95,100,90,65,100,12,66.6666666666667,100,75,17,66.4,79.2,85,83,88,95.3125,80.5555555555556,100,89.2770833333333,"A-"
